site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
PITN 11APR23 2011.3073 55674 1632 6  -42.8    772  0.885501   -564218 -0.015811    67  0.956172  0.0080 0.000792 0.000716 0.003037 -0.035986  0.069254 -0.045184  -5.1024802785  -42.7930296131    67.95617
PITN 11APR24 2011.3101 55675 1633 0  -42.8    772  0.883237   -564218 -0.013976    67  0.958137  0.0080 0.000741 0.000682 0.002891 -0.064623  0.087018 -0.052896  -5.1024802619  -42.7930296335    67.95814
PITN 11APR25 2011.3128 55676 1633 1  -42.8    772  0.885891   -564218 -0.016415    67  0.945790  0.0080 0.000746 0.000678 0.002887 -0.043992  0.038436  0.003573  -5.1024802839  -42.7930296096    67.94579
PITN 11APR26 2011.3155 55677 1633 2  -42.8    772  0.884070   -564218 -0.013560    67  0.955276  0.0080 0.000716 0.000657 0.002774 -0.027798  0.088643 -0.038940  -5.1024802581  -42.7930296260    67.95528
PITN 11APR27 2011.3183 55678 1633 3  -42.8    772  0.889473   -564218 -0.013440    67  0.959398  0.0080 0.000734 0.000672 0.002901 -0.023091  0.081429 -0.068931  -5.1024802570  -42.7930295773    67.95940
PITN 11APR28 2011.3210 55679 1633 4  -42.8    772  0.884477   -564218 -0.014798    67  0.957054  0.0080 0.000725 0.000664 0.002807 -0.039061  0.061731 -0.059673  -5.1024802693  -42.7930296223    67.95705
PITN 11APR29 2011.3238 55680 1633 5  -42.8    772  0.884491   -564218 -0.013197    67  0.953535  0.0080 0.000716 0.000651 0.002773 -0.039534  0.071133 -0.027923  -5.1024802548  -42.7930296222    67.95353
PITN 11APR30 2011.3265 55681 1633 6  -42.8    772  0.887006   -564218 -0.016146    67  0.951274  0.0080 0.000724 0.000656 0.002780 -0.039693  0.052999 -0.061074  -5.1024802815  -42.7930295995    67.95127
PITN 11MAY01 2011.3292 55682 1634 0  -42.8    772  0.887163   -564218 -0.015220    67  0.954991  0.0080 0.000729 0.000664 0.002858 -0.023348  0.097947 -0.030124  -5.1024802731  -42.7930295981    67.95499
PITN 11MAY02 2011.3320 55683 1634 1  -42.8    772  0.884770   -564218 -0.016800    67  0.955037  0.0080 0.000747 0.000670 0.002874 -0.066096  0.018009 -0.043669  -5.1024802874  -42.7930296197    67.95504
